Star Count,Fork Count
69569,22499
28328,4608
26890,9174
26812,8690
26529,4968
26494,6316
21800,2298
20472,4407
19631,1809
19041,3034
18384,2090
18190,7782
18138,9218
17381,3190
17254,2993
16506,1676
16271,2295
15379,872
14137,1076
13943,7000
13263,1359
12745,591
12686,1526
12599,1387
12576,1415
12455,717
12251,1648
12063,2681
11891,585
11754,2988
11614,458
11299,1932
11283,4116
11083,2639
11051,1407
10958,782
10947,2267
10768,2279
10746,1691
10642,158
10570,1921
10503,1504
10383,1573
10216,1891
10178,441
10024,8881
10002,2668
9814,2377
9528,824
9330,1434
9327,2099
9294,1269
9252,286
9195,1368
9130,417
9118,240
8954,1801
8775,1630
8589,2053
8502,590
8486,3473
8327,744
8144,281
8079,1704
8027,66
7978,117
7936,54
7919,5237
7883,853
7876,44
7791,10166
7737,2056
7735,1702
7627,85
7489,1162
7421,878
7408,37
7292,55
7141,94
7062,937
7002,41
6995,100
6949,671
6906,94
6818,952
6810,1939
6622,550
6609,2988
6508,170
6470,4366
6454,1947
6442,4547
6407,355
6249,74
6210,2461
6102,1075
6095,2014
6057,606
5988,3125
5892,1120
5761,1605
5712,657
5623,785
5545,1110
5524,767
5489,769
5481,578
5470,1215
5468,661
5468,889
5304,1558
5299,545
5270,362
5259,487
5250,3683
5173,957
5124,1900
5045,480
5032,1260
4990,696
4970,1772
4934,917
4933,1380
4911,694
4868,922
4862,883
4827,2332
4817,23
4744,803
4738,523
4716,389
4606,237
4562,560
4561,171
4536,920
4521,1164
4518,1311
4471,1419
4426,1474
4394,253
4337,805
4330,623
4306,519
4300,935
4269,900
4260,1387
4250,782
4240,486
4202,49
4184,774
4168,3492
4164,1664
4134,827
4076,554
4075,1573
4068,123
4058,415
4048,984
4038,422
4013,376
4011,556
3968,400
3922,668
3909,275
3899,732
3875,214
3818,268
3816,5
3789,364
3787,33
3786,386
3753,405
3746,544
3743,599
3741,1215
3723,83
3697,53
3692,749
3678,670
3633,519
3631,401
3629,730
3585,213
3584,1037
3582,123
3571,896
3552,614
3532,604
3531,897
3514,601
3514,148
3455,499
3439,1206
3423,125
3412,773
3359,902
3354,27
3345,591
3328,540
3325,646
2339,40
2337,330
2325,601
2322,509
2293,21
2282,754
2268,561
2262,21
2252,175
2252,175
2237,1063
2237,1063
2234,172
2230,11
2230,11
2224,45
2223,251
2223,251
2220,459
2220,459
2210,965
2209,450
2209,450
2208,23
2208,23
2206,507
2206,507
2203,48
2198,8
2198,8
2195,398
2195,398
2194,510
2188,194
2188,194
2184,505
2184,505
2175,799
2175,799
2173,219
2173,219
2171,713
2171,713
2169,506
2169,506
2165,1588
2164,627
2163,19
2163,19
2156,339
2156,339
2148,320
2148,320
2145,796
2140,326
2140,326
2138,578
2129,140
2129,140
2124,813
2116,1336
2116,1336
2113,1159
2113,1159
2110,365
2110,365
2103,231
2103,231
2091,10
2091,10
2089,191
2089,191
2083,402
2083,70
2083,402
2081,488
2081,488
2079,215
2079,215
2077,149
2075,708
