Name,Url,Star Count,Fork Count
security-checker,https://github.com/sensiolabs/security-checker,2030,125
dontbug,https://github.com/sidkshatriya/dontbug,708,17
sulu-standard,https://github.com/sulu/sulu-standard,628,113
libsodium-php,https://github.com/jedisct1/libsodium-php,532,71
lnmp,https://github.com/khs1994-docker/lnmp,483,106
fullycms,https://github.com/sseffa/fullycms,470,193
easy-deploy-bundle,https://github.com/EasyCorp/easy-deploy-bundle,468,98
laravel-helpers,https://github.com/sebastiaanluca/laravel-helpers,420,26
Symfony-coding-standard,https://github.com/djoos/Symfony-coding-standard,390,103
laravel-vue-admin,https://github.com/SmallRuralDog/laravel-vue-admin,382,65
yii2-docker,https://github.com/yiisoft/yii2-docker,329,185
php-package-template,https://github.com/ergebnis/php-package-template,268,23
PHP,https://github.com/wuleying/PHP,237,125
android-market-api-php,https://github.com/koconder/android-market-api-php,237,82
bitcoin.php,https://github.com/dryphp/bitcoin.php,228,118
PHP-Auto-Update,https://github.com/VisualAppeal/PHP-Auto-Update,225,69
food-ordering-system,https://github.com/haxxorsid/food-ordering-system,201,158
php-msf-docs,https://github.com/pinguo/php-msf-docs,192,59
base62,https://github.com/tuupola/base62,167,17
PHPStamp,https://github.com/shadz3rg/PHPStamp,155,33
ELECTRON-4-PHP,https://github.com/aj-techsoul/ELECTRON-4-PHP,152,35
themes,https://github.com/phpmyadmin/themes,147,132
nocolor,https://github.com/VKCOM/nocolor,133,2
GamePanelX-V3,https://github.com/devryan/GamePanelX-V3,128,92
publisher,https://github.com/Laravel-Lang/publisher,123,12
php-serialize,https://github.com/jqr/php-serialize,121,53
php-rpm,https://github.com/hjr3/php-rpm,115,12
jwt,https://github.com/psecio/jwt,111,14
webcomic,https://github.com/mgsisk/webcomic,108,29
TieBaRobot,https://github.com/giuem/TieBaRobot,107,68
Zebra_Database,https://github.com/stefangabos/Zebra_Database,105,37
ComurImageBundle,https://github.com/comur/ComurImageBundle,104,77
weapp_wechat_miniapp_sdk,https://github.com/kulokai/weapp_wechat_miniapp_sdk,101,28
text-similarity-php,https://github.com/xiaobeicn/text-similarity-php,93,50
array_group_by,https://github.com/jakezatecky/array_group_by,92,15
php-mysql-crud,https://github.com/FaztWeb/php-mysql-crud,88,74
wtcms,https://github.com/taosir/wtcms,85,41
simplevk,https://github.com/digitalstars/simplevk,84,25
php-fhir,https://github.com/dcarbone/php-fhir,82,32
SonataFormatterBundle,https://github.com/sonata-project/SonataFormatterBundle,79,112
symfony-ddd-skeleton,https://github.com/yceruto/symfony-ddd-skeleton,77,15
varbase,https://github.com/Vardot/varbase,75,46
gopay-php-api,https://github.com/gopaycommunity/gopay-php-api,70,37
eloquent-versioning,https://github.com/ProAI/eloquent-versioning,70,24
stakkr,https://github.com/stakkr-org/stakkr,70,20
SSLCommerz-Laravel,https://github.com/sslcommerz/SSLCommerz-Laravel,69,58
etsy-php,https://github.com/inakiabt/etsy-php,67,61
MongoDB-PHP-GUI,https://github.com/SamuelTallet/MongoDB-PHP-GUI,66,22
swoft-framework,https://github.com/swoft-cloud/swoft-framework,65,39
laravel-starter,https://github.com/luckyhacking/laravel-starter,65,18
DrupalDriver,https://github.com/jhedstrom/DrupalDriver,62,87
authorization,https://github.com/cakephp/authorization,60,39
drupal8-vagrant,https://github.com/thom8/drupal8-vagrant,60,6
deployer-php-action,https://github.com/atymic/deployer-php-action,56,12
phactor,https://github.com/tpunt/phactor,56,3
php-panel-v2,https://github.com/znixbtw/php-panel-v2,55,20
littlelink-admin,https://github.com/khashayarzavosh/littlelink-admin,54,12
nur,https://github.com/izniburak/nur,54,6
CPT-Bootstrap-Carousel,https://github.com/ewels/CPT-Bootstrap-Carousel,51,41
tiktok-php,https://github.com/RobertGrubb/tiktok-php,51,21
freelancers-market,https://github.com/m-elewa/freelancers-market,50,39
vueManage,https://github.com/codedart2018/vueManage,46,14
phpfuncs,https://github.com/serkanalgur/phpfuncs,46,6
sendgrid-mailer,https://github.com/symfony/sendgrid-mailer,45,10
cszcms,https://github.com/cskaza/cszcms,44,47
bearframework,https://github.com/bearframework/bearframework,43,9
MinkZombieDriver,https://github.com/minkphp/MinkZombieDriver,41,51
sms,https://github.com/softon/sms,41,27
php-imageoptim-api,https://github.com/ImageOptim/php-imageoptim-api,41,7
hacktoberfest,https://github.com/PHPRio/hacktoberfest,39,8
paris-2022-talks,https://github.com/SymfonyLive/paris-2022-talks,39,4
processwire-dashboard,https://github.com/daun/processwire-dashboard,39,2
yii2-react,https://github.com/bTokman/yii2-react,38,11
biskuit,https://github.com/biskuitorg/biskuit,37,13
drupal8-oop,https://github.com/david-hernandez/drupal8-oop,37,10
robots-txt-parser,https://github.com/bopoda/robots-txt-parser,36,18
intl-icu-data-tables,https://github.com/samdark/intl-icu-data-tables,36,6
Doctor-Appointment,https://github.com/divScorp/Doctor-Appointment,34,22
pusher,https://github.com/php-api-clients/pusher,33,8
graphpinator,https://github.com/infinityloop-dev/graphpinator,33,6
rw-acme-client,https://github.com/RogierW/rw-acme-client,33,5
pdo-mysql-login-register,https://github.com/mdobydullah/pdo-mysql-login-register,32,21
pterodactyl-sdk,https://github.com/hcgcloud/pterodactyl-sdk,27,22
Online-Movie-Ticket-Booking-Script-Free,https://github.com/vydyas/Online-Movie-Ticket-Booking-Script-Free,27,11
